name,address,category,city,regency,province,description,keywords,price
Pantai Lampuuk,"Lampuuk, Lhoknga",Wisata Bahari,Banda Aceh,Aceh Besar,Aceh,Pantai indah dengan pasir putih dan ombak yang cocok untuk surfing.,"Pantai, Lampuuk, Lhoknga, Aceh, Surfing",0
Pulau Weh,"Pulau Weh, Sabang",Wisata Bahari,Sabang,Sabang,Aceh,Pulau yang terkenal dengan keindahan alam bawah laut dan tempat penyelaman terbaik di Aceh.,"Pulau, Weh, Sabang, Wisata Bahari, Diving",0
Pantai Ujong Blang,"Ujong Blang, Lhokseumawe",Wisata Bahari,Lhokseumawe,Aceh Utara,Aceh,Pantai yang cocok untuk bersantai dengan pemandangan laut yang luas.,"Pantai, Ujong Blang, Lhokseumawe, Aceh Utara",0
Pantai Kuala Merisi,"Kuala Merisi, Aceh Timur",Wisata Bahari,Langsa,Aceh Timur,Aceh,"Pantai yang menawarkan keindahan alam dan ketenangan, ideal untuk berlibur.","Pantai, Kuala Merisi, Langsa, Aceh Timur",0
Pantai Lagoi,"Lagoi, Bener Meriah",Wisata Bahari,Bener Meriah,Aceh,Aceh,Pantai eksotis dengan air laut yang jernih dan pemandangan alam yang menakjubkan.,"Pantai, Lagoi, Bener Meriah, Aceh",0
Pantai Lhoknga,"Lhoknga, Aceh Besar",Wisata Bahari,Banda Aceh,Aceh Besar,Aceh,"Pantai dengan pemandangan indah dan suasana yang tenang, cocok untuk bersantai.","Pantai, Lhoknga, Banda Aceh, Aceh Besar",0
Pulau Rondo,"Pulau Rondo, Sabang",Wisata Bahari,Sabang,Sabang,Aceh,"Pulau kecil yang terletak dekat dengan Pulau Weh, terkenal dengan wisata menyelam dan keindahan bawah lautnya.","Pulau, Rondo, Sabang, Wisata Bahari, Diving",0
Pantai Kuta Karang,"Kuta Karang, Banda Aceh",Wisata Bahari,Banda Aceh,Banda Aceh,Aceh,Pantai yang cocok untuk menikmati pemandangan matahari terbenam dan berenang.,"Pantai, Kuta Karang, Banda Aceh",0
Pantai Alue Naga,"Alue Naga, Banda Aceh",Wisata Bahari,Banda Aceh,Banda Aceh,Aceh,Pantai yang menawarkan keindahan pasir putih dan air laut yang jernih.,"Pantai, Alue Naga, Banda Aceh",0
Pantai Tepi Laut,"Tepi Laut, Aceh Jaya",Wisata Bahari,Calang,Aceh Jaya,Aceh,Pantai yang menawarkan pemandangan laut yang indah dan cocok untuk berlibur keluarga.,"Pantai, Tepi Laut, Aceh Jaya",0
Pulau Rubiah,"Pulau Rubiah, Sabang",Wisata Bahari,Sabang,Sabang,Aceh,"Pulau kecil dengan keindahan alam bawah laut, ideal untuk kegiatan snorkeling dan diving.","Pulau, Rubiah, Sabang, Diving, Snorkeling",0
Pantai Blang Padang,"Blang Padang, Aceh Utara",Wisata Bahari,Lhokseumawe,Aceh Utara,Aceh,"Pantai yang menawarkan keindahan alam yang asri dan sepi, cocok untuk relaksasi.","Pantai, Blang Padang, Lhokseumawe, Aceh Utara",0
Pantai Langsa,"Langsa, Aceh Timur",Wisata Bahari,Langsa,Aceh Timur,Aceh,Pantai yang memiliki pemandangan alam yang menenangkan dan cocok untuk piknik.,"Pantai, Langsa, Aceh Timur",0
Pantai Pulo Aceh,"Pulo Aceh, Aceh Besar",Wisata Bahari,Banda Aceh,Aceh Besar,Aceh,"Pantai yang terletak di Pulau Aceh, dengan panorama alam yang masih alami dan jarang terjamah.","Pantai, Pulo Aceh, Banda Aceh, Aceh Besar",0
Pulau Babi,"Pulau Babi, Aceh Singkil",Wisata Bahari,Singkil,Aceh Singkil,Aceh,Pulau yang memiliki keindahan alam dengan pantai dan air laut yang jernih.,"Pulau, Babi, Aceh Singkil, Wisata Bahari",0
Pantai Seumadu,"Seumadu, Aceh Besar",Wisata Bahari,Banda Aceh,Aceh Besar,Aceh,"Pantai dengan pasir putih dan ombak yang tenang, cocok untuk berenang.","Pantai, Seumadu, Banda Aceh, Aceh Besar",0
Pulau Beras Basah,"Pulau Beras Basah, Aceh Besar",Wisata Bahari,Banda Aceh,Aceh Besar,Aceh,Pulau kecil dengan pantai berpasir putih dan air laut yang sangat jernih.,"Pulau, Beras Basah, Banda Aceh, Aceh Besar",0
Pantai Sumur Tiga,"Sumur Tiga, Sabang",Wisata Bahari,Sabang,Sabang,Aceh,Pantai yang terkenal dengan keindahan alam bawah laut dan pasir putihnya.,"Pantai, Sumur Tiga, Sabang, Wisata Bahari",0
Pantai Lhok Mee,"Lhok Mee, Aceh Besar",Wisata Bahari,Banda Aceh,Aceh Besar,Aceh,Pantai dengan keindahan alam yang cocok untuk bersantai dan bermain air.,"Pantai, Lhok Mee, Banda Aceh, Aceh Besar",0
Pulau Punik,"Pulau Punik, Aceh Timur",Wisata Bahari,Langsa,Aceh Timur,Aceh,Pulau kecil yang menawarkan pantai eksotis dengan pasir putih dan air laut yang jernih.,"Pulau, Punik, Langsa, Aceh Timur",0
Pantai Ketambe,"Ketambe, Aceh Tenggara",Wisata Bahari,Kutacane,Aceh Tenggara,Aceh,Pantai yang dikelilingi oleh alam pegunungan dan menawarkan pemandangan yang menakjubkan.,"Pantai, Ketambe, Aceh Tenggara",0
Pantai Keuneukai,"Keuneukai, Aceh Selatan",Wisata Bahari,Tapaktuan,Aceh Selatan,Aceh,Pantai dengan ombak yang tenang dan cocok untuk menikmati suasana alam.,"Pantai, Keuneukai, Tapaktuan, Aceh Selatan",0
Pulau Sabang,"Sabang, Aceh",Wisata Bahari,Sabang,Sabang,Aceh,Pulau yang menawarkan keindahan alam dan merupakan lokasi yang populer untuk kegiatan menyelam dan snorkeling.,"Pulau, Sabang, Aceh, Wisata Bahari, Snorkeling",0
Pantai Lamno,"Lamno, Aceh Jaya",Wisata Bahari,Calang,Aceh Jaya,Aceh,"Pantai dengan pasir putih yang menenangkan, cocok untuk menikmati keindahan alam.","Pantai, Lamno, Calang, Aceh Jaya",0
Pantai Kuala Cangkoi,"Kuala Cangkoi, Aceh Tamiang",Wisata Bahari,Kuala Simpang,Aceh Tamiang,Aceh,Pantai dengan keindahan alam yang cocok untuk bersantai dan menikmati suasana laut.,"Pantai, Kuala Cangkoi, Aceh Tamiang",0
Pantai Rantau,"Rantau, Aceh Utara",Wisata Bahari,Lhokseumawe,Aceh Utara,Aceh,Pantai yang terkenal dengan keindahan ombak dan pemandangan yang tenang.,"Pantai, Rantau, Lhokseumawe, Aceh Utara",0
Pantai Meulaboh,"Meulaboh, Aceh Barat",Wisata Bahari,Meulaboh,Aceh Barat,Aceh,Pantai yang memiliki suasana yang tenang dengan pemandangan alam yang indah.,"Pantai, Meulaboh, Aceh Barat",0
